Place of interest,Type of place,Station location,BiciMAD station,Station location
Centro Sociocultural Aula de Aire Libre (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Arroyo del Olivar nº 6,227 - Concordia,Calle Arroyo del Olivar nº 6
Centro Sociocultural Blasco Ibáñez (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Ermita del Santo nº 48,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
Centro Sociocultural Bohemios (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural Ciudad Lineal,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida Marqués de Corbera nº 52,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Centro Sociocultural Clara Campoamor (Retiro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle León Gil de Palacio nº 3,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
Centro Sociocultural Clara del Rey (Centro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Plaza de la Cebada nº 16 ,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 
Centro Sociocultural Cánovas del Castillo (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Sociocultural Eduardo Chillida (Moratalaz),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Arroyo de las Pilillas nº 6,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Centro Sociocultural El Greco (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural García Lorca (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural José de Espronceda (Tetuán),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Doctor Santero nº 1,204 - Cuatro Caminos 2,Calle Doctor Santero nº 1
Centro Sociocultural Las Tablas (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Latina,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural Luis Gonzaga (Chamartín),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle María Francisca nº 1,146 - María Francisca 1,Calle María Francisca nº 1
Centro Sociocultural Maestro Alonso (Salamanca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Alejandro González nº 1,187 - Alcalá-Ventas,Calle Alejandro González nº 1
Centro Sociocultural Marconi (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Oporto (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta Marqués de Vadillo nº 9,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro Sociocultural Rafael de León (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Francos Rodríguez nº 62,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Centro Sociocultural Rosario de Acuña (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural San Cristóbal de los Ángeles (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural San Fermín (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural Santa Petronila (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Arroyo del Olivar nº 6,227 - Concordia,Calle Arroyo del Olivar nº 6
